time (s),U,V,W
0,-6.93,4.5,0.28
0.03125,-6.91,4.97,0.75
0.0625,-7.58,4.88,0.08
0.09375,-7.46,4.47,0.56
0.125,-7.77,4.64,-0.05
0.15625,-7.44,4.57,0.53
0.1875,-7.06,4.36,0.41
0.21875,-7.44,4.9,-0.07
0.25,-7.44,4.6,-0.21
0.28125,-7.41,3.69,-0.26
0.3125,-7.6,4.91,-0.64
0.34375,-8.05,4.41,-0.26
0.375,-7.08,2.96,0.46
0.40625,-6.91,4.16,-0.41
0.4375,-7.79,4.66,-0.18
0.46875,-7.86,3.76,-0.03
0.5,-7.15,3.9,0.74
0.53125,-7.14,4.5,0.47
0.5625,-7.3,4.65,0.21
0.59375,-7.48,3.87,0.48
0.625,-7.61,4.32,0.67
0.65625,-7.77,4.09,0.61
0.6875,-7.31,4.01,0
0.71875,-6.72,3.58,0.07
0.75,-7.44,3.85,0.72
0.78125,-7.92,4.34,0.15
0.8125,-7.97,4.15,0.39
0.84375,-7.96,4.43,-0.21
0.875,-7.99,3.6,0.34
0.90625,-8.1,3.88,-0.11
0.9375,-8.68,3.87,0.2
0.96875,-8.4,4.04,-0.22
1,-8.09,4.01,0.2
1.03125,-8.13,2.94,0.48
1.0625,-8.23,3.41,0.2
1.09375,-7.9,3.5,-0.19
1.125,-8.82,3.76,0
1.15625,-8.34,3.2,-0.29
1.1875,-8.36,3.45,-0.12
1.21875,-8.14,3.46,0.11
1.25,-8.01,3.44,0.01
1.28125,-8.5,3.55,0.25
1.3125,-7.91,3.84,-0.2
1.34375,-7.94,3.94,-0.22
1.375,-7.94,3.47,0.04
1.40625,-8.45,2.5,0.32
1.4375,-8.65,3.3,-0.1
1.46875,-8.13,2.79,0.15
1.5,-8.07,3.76,0.08
1.53125,-7.51,3.5,0.06
1.5625,-8.18,3.74,-0.01
1.59375,-8.06,3.27,0.22
1.625,-8.64,3.19,0.48
1.65625,-8.49,2.62,0.15
1.6875,-8.23,3.13,0.06
1.71875,-8.55,2.83,-0.12
1.75,-8.77,3.24,0.15
1.78125,-8.67,2.8,0.02
